Date,Open,High,Low,Close,Adj Close,Volume
2013-08-12,101.389999,101.419998,101.389999,102.000000,102.000000,0
2013-08-13,101.400002,102.699997,101.400002,101.389999,101.389999,0
2013-08-14,101.300003,101.300003,101.300003,102.400002,102.400002,0
2013-08-15,101.440002,102.550003,101.440002,102.550003,102.550003,0
2013-08-16,101.599998,102.699997,101.599998,100.949997,100.949997,0
2013-08-19,101.930000,101.930000,101.930000,101.639999,101.639999,0
2013-08-20,102.000000,103.029999,102.000000,102.110001,102.110001,0
2013-08-21,102.199997,103.334999,102.199997,101.680000,101.680000,0
2013-08-22,102.410004,103.599998,102.410004,103.599998,103.599998,0
2013-08-23,102.330002,103.500000,102.330002,102.019997,102.019997,0
2013-08-26,102.529999,103.349998,102.529999,102.150002,102.150002,0
2013-08-27,102.570000,103.650002,102.570000,102.489998,102.489998,0
2013-08-28,102.730003,102.730003,102.720001,102.209999,102.209999,0
2013-08-29,103.160004,104.300003,103.160004,102.760002,102.760002,0
2013-08-30,103.250000,104.300003,103.250000,104.300003,104.300003,0
2013-09-02,103.559998,103.680000,103.559998,103.580002,103.580002,0
2013-09-03,103.669998,103.669998,103.669998,103.800003,103.800003,0
2013-09-04,103.599998,103.599998,103.599998,103.709999,103.709999,0
2013-09-05,103.589996,103.589996,103.589996,103.449997,103.449997,0
2013-09-06,103.419998,103.419998,103.419998,104.309998,104.309998,0
2013-09-09,103.430000,103.430000,103.430000,102.930000,102.930000,0
2013-09-10,103.589996,103.589996,103.449997,102.959999,102.959999,0
2013-09-11,103.559998,103.559998,103.559998,103.419998,103.419998,0
2013-09-12,103.599998,103.599998,103.599998,103.129997,103.129997,0
2013-09-13,103.750000,103.750000,103.750000,103.580002,103.580002,0
2013-09-16,103.169998,103.720001,103.110001,103.089996,103.089996,0
2013-09-17,103.779999,103.779999,103.779999,103.800003,103.800003,0
2013-09-18,104.550003,104.550003,104.550003,103.790001,103.790001,0
2013-09-19,104.480003,104.480003,104.480003,103.309998,103.309998,0
2013-09-20,104.279999,104.290001,104.279999,104.660004,104.660004,0
2013-09-23,104.449997,104.570000,104.269997,104.400002,104.400002,0
2013-09-24,104.910004,105.769997,104.910004,104.760002,104.760002,0
2013-09-25,105.239998,106.199997,105.239998,106.199997,106.199997,0
2013-09-26,104.190002,106.199997,104.190002,105.120003,105.120003,0
2013-09-27,104.410004,106.199997,104.410004,104.330002,104.330002,0
2013-09-30,104.580002,105.500000,104.580002,104.309998,104.309998,0
2013-10-01,104.680000,104.680000,104.680000,105.949997,105.949997,0
2013-10-02,104.639999,105.800003,104.639999,104.839996,104.839996,0
2013-10-03,104.680000,105.800003,104.680000,104.190002,104.190002,0
2013-10-04,104.970001,106.000000,104.959999,104.470001,104.470001,0
2013-10-07,105.120003,106.000000,105.029999,105.160004,105.160004,0
2013-10-08,null,null,null,null,null,null
2013-10-09,104.830002,105.889999,104.830002,104.580002,104.580002,0
2013-10-10,104.889999,106.000000,104.889999,104.790001,104.790001,0
2013-10-11,104.930000,106.099998,104.930000,104.910004,104.910004,0
2013-10-14,104.970001,104.989998,104.970001,105.019997,105.019997,0
2013-10-15,105.019997,106.000000,105.019997,105.050003,105.050003,0
2013-10-16,104.940002,106.099998,104.940002,104.760002,104.760002,0
2013-10-17,104.970001,106.000000,104.970001,105.120003,105.120003,0
